,SizeRank,RegionName,State,City,Metro,CountyName,AveragePrice,Down_payment_20%
4294,4297,27565,NC,Oxford,"Durham-Chapel Hill, NC",Granville County,188591.6440072287,37718.32880144574
4395,4398,28150,NC,,"Shelby, NC",Cleveland County,136595.52235382973,27319.104470765946
4425,4428,27889,NC,Washington,"Washington, NC",Beaufort County,213499.91744936435,42699.98348987287
4428,4430,28081,NC,Kannapolis,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,252901.11607819155,50580.22321563831
4448,4451,27549,NC,Louisburg,"Raleigh-Cary, NC",Franklin County,272772.60174162715,54554.52034832543
4489,4492,27870,NC,Roanoke Rapids,"Roanoke Rapids, NC",Halifax County,94879.4013239538,18975.88026479076
4499,4502,28334,NC,Dunn,"Fayetteville, NC",Harnett County,187240.0212887529,37448.00425775058
4509,4512,28401,NC,Wilmington,"Wilmington, NC",New Hanover County,268950.1909189396,53790.038183787925
4511,4514,28681,NC,Taylorsville,"Hickory-Lenoir-Morganton, NC",Alexander County,196031.66589070356,39206.33317814071
4519,4522,27537,NC,Henderson,"Henderson, NC",Vance County,180354.3534624011,36070.870692480225
4520,4523,27260,NC,High Point,"Greensboro-High Point, NC",Guilford County,96848.12784694282,19369.625569388565
4577,4580,28152,NC,Shelby,"Shelby, NC",Cleveland County,151613.8684442518,30322.77368885036
4695,4698,27262,NC,High Point,"Greensboro-High Point, NC",Guilford County,176179.4099158563,35235.88198317126
4779,4782,28144,NC,Salisbury,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,185047.2323730132,37009.44647460264
4800,4803,28379,NC,Rockingham,"Rockingham, NC",Richmond County,102492.22542992134,20498.44508598427
4810,4813,28012,NC,Belmont,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,381969.94158896565,76393.98831779313
4870,4873,28390,NC,Spring Lake,"Fayetteville, NC",Harnett County,201149.97858795823,40229.99571759165
4883,4886,28326,NC,Cameron,"Fayetteville, NC",Harnett County,283945.7589757629,56789.151795152575
4904,4906,28083,NC,Kannapolis,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,240338.87048826745,48067.77409765349
4911,4914,28147,NC,Salisbury,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,242975.12910760957,48595.025821521915
